industry,count
Packaged software,73
Real estate investment trusts,69
Precious metals,58
Electric utilities,43
Industrial machinery,36
Semiconductors,35
Medical specialties,34
Aerospace & defense,31
Investment managers,29
Pharmaceuticals: major,29
Integrated oil,27
Other metals/Minerals,27
Investment banks/Brokers,26
Major banks,25
Engineering & construction,23
Information technology services,22
Regional banks,21
Specialty stores,21
Biotechnology,20
Finance/Rental/Leasing,19
Multi-line insurance,19
Internet software/Services,18
Oil & gas pipelines,17
Wholesale distributors,17
Miscellaneous commercial services,16
Restaurants,14
Electrical products,13
Oil & gas production,13
Investment trusts/Mutual funds,12
Property/Casualty insurance,12
Food: specialty/candy,11
Trucks/Construction/Farm machinery,11
Apparel/Footwear,10
Chemicals: specialty,10
Data processing services,10
Air freight/Couriers,9
Auto parts: OEM,9
Containers/Packaging,9
Electronic equipment/Instruments,9
Internet retail,9
Agricultural commodities/Milling,8
Beverages: non-alcoholic,8
Electronic production equipment,8
Financial publishing/Services,8
Motor vehicles,8
Building products,7
Electronic components,7
Food retail,7
Gas distributors,7
Hotels/Resorts/Cruise lines,7
Household/Personal care,7
Life/Health insurance,7
Medical/Nursing services,7
Trucking,7
Wireless telecommunications,7
Airlines,6
Apparel/Footwear retail,6
Computer peripherals,6
Computer processing hardware,6
Construction materials,6
Environmental services,6
Insurance brokers/Services,6
Managed health care,6
Movies/Entertainment,6
Other consumer services,6
Other transportation,6
Railroads,6
Steel,6
Telecommunications equipment,6
Cable/Satellite TV,5
Food: meat/fish/dairy,5
Homebuilding,5
Specialty insurance,5
Beverages: alcoholic,4
Casinos/Gaming,4
Chemicals: major diversified,4
Contract drilling,4
Department stores,4
Food distributors,4
Home improvement chains,4
Hospital/Nursing management,4
Industrial specialties,4
Medical distributors,4
Metal fabrication,4
Oil refining/Marketing,4
Oilfield services/Equipment,4
Real estate development,4
Alternative power generation,3
Broadcasting,3
Chemicals: agricultural,3
Commercial printing/Forms,3
Discount stores,3
Food: major diversified,3
Forest products,3
Major telecommunications,3
Pharmaceuticals: other,3
Publishing: newspapers,3
Recreational products,3
Tools & hardware,3
Electronics distributors,2
Electronics/Appliance stores,2
Marine shipping,2
Miscellaneous manufacturing,2
Other consumer specialties,2
Pulp & paper,2
Specialty telecommunications,2
Tobacco,2
Water utilities,2
Advertising/Marketing services,1
Aluminum,1
Automotive aftermarket,1
Drugstore chains,1
Electronics/Appliances,1
Financial conglomerates,1
Home furnishings,1
Industrial conglomerates,1
Savings banks,1
Services to the health industry,1
